audit_id,audit_type,item_id,source_id,locator,filing_date,accepted_at,accession,url,source_sha256,review_task
ORACLE|FSEC-AMD-02|comparisons|1,oracle_calculation,FSEC-AMD-02|comparisons|1,amd-2024-10-29-q3,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""AMD-Q2-REV"", ""operation"": ""percent_change"", ""rounding"": ""0.1"", ""to_fact"": ""AMD-Q3-REV"", ""unit"": ""percent""}"
ORACLE|FSEC-AMD-02|comparisons|2,oracle_calculation,FSEC-AMD-02|comparisons|2,amd-2024-10-29-q3,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""AMD-Q2-GM"", ""operation"": ""difference"", ""rounding"": ""0.1"", ""to_fact"": ""AMD-Q3-GM"", ""unit"": ""percentage_point""}"
SOURCE|AMD-Q4-REV,source,AMD-Q4-REV,amd-2025-02-04-fy2024,GAAP Quarterly Financial Results,2025-02-04,2025-02-04T21:17:17.000Z,0000002488-25-000009,https://www.sec.gov/Archives/edgar/data/2488/000000248825000009/q42024991.htm,1b2f364fea5d5c5247a3a79b0fdfec3b8b85da6fe5e332aadd287514b1c0fc95,Verify value=7658 unit=USD_million basis=GAAP period=Q4 2024 and the claimed excerpt in the locked primary source.
SOURCE|AMD-Q4-GM,source,AMD-Q4-GM,amd-2025-02-04-fy2024,GAAP Quarterly Financial Results,2025-02-04,2025-02-04T21:17:17.000Z,0000002488-25-000009,https://www.sec.gov/Archives/edgar/data/2488/000000248825000009/q42024991.htm,1b2f364fea5d5c5247a3a79b0fdfec3b8b85da6fe5e332aadd287514b1c0fc95,Verify value=51 unit=percent basis=GAAP period=Q4 2024 and the claimed excerpt in the locked primary source.
SOURCE|AMD-Q4-GAME,source,AMD-Q4-GAME,amd-2025-02-04-fy2024,Segment Summary,2025-02-04,2025-02-04T21:17:17.000Z,0000002488-25-000009,https://www.sec.gov/Archives/edgar/data/2488/000000248825000009/q42024991.htm,1b2f364fea5d5c5247a3a79b0fdfec3b8b85da6fe5e332aadd287514b1c0fc95,Verify value=563 unit=USD_million basis=reported_segment period=Q4 2024 and the claimed excerpt in the locked primary source.
ORACLE|FSEC-AMD-03|comparisons|1,oracle_calculation,FSEC-AMD-03|comparisons|1,amd-2025-02-04-fy2024,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""AMD-Q3-REV"", ""operation"": ""percent_change"", ""rounding"": ""0.1"", ""to_fact"": ""AMD-Q4-REV"", ""unit"": ""percent""}"
ORACLE|FSEC-AMD-03|comparisons|2,oracle_calculation,FSEC-AMD-03|comparisons|2,amd-2025-02-04-fy2024,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""AMD-Q3-GM"", ""operation"": ""difference"", ""rounding"": ""0.1"", ""to_fact"": ""AMD-Q4-GM"", ""unit"": ""percentage_point""}"
SOURCE|INTC-2023-FOUNDRY-REV,source,INTC-2023-FOUNDRY-REV,intel-2024-04-02-foundry-framework,Operating segment revenue,2024-04-02,2024-04-02T20:01:22.000Z,0000050863-24-000068,https://www.sec.gov/Archives/edgar/data/50863/000005086324000068/a04022024form8-kexhibit991.htm,efb4f1226ebd7bd915a9a580d4a2f69430b4da4bec406090ce920f5fa0440af2,Verify value=18910 unit=USD_million basis=reported_segment period=Retrospective 2023 segment disclosure and the claimed excerpt in the locked primary source.
SOURCE|INTC-2023-FOUNDRY-OI,source,INTC-2023-FOUNDRY-OI,intel-2024-04-02-foundry-framework,Segment operating income (loss),2024-04-02,2024-04-02T20:01:22.000Z,0000050863-24-000068,https://www.sec.gov/Archives/edgar/data/50863/000005086324000068/a04022024form8-kexhibit991.htm,efb4f1226ebd7bd915a9a580d4a2f69430b4da4bec406090ce920f5fa0440af2,Verify value=-6955 unit=USD_million basis=reported_segment period=Retrospective 2023 segment disclosure and the claimed excerpt in the locked primary source.
SOURCE|INTC-2023-EXT-FOUNDRY,source,INTC-2023-EXT-FOUNDRY,intel-2024-04-02-foundry-framework,Intel Foundry segment revenue policy,2024-04-02,2024-04-02T20:01:22.000Z,0000050863-24-000068,https://www.sec.gov/Archives/edgar/data/50863/000005086324000068/a04022024form8-kexhibit991.htm,efb4f1226ebd7bd915a9a580d4a2f69430b4da4bec406090ce920f5fa0440af2,Verify value=953 unit=USD_million basis=reported_segment period=Retrospective 2023 segment disclosure and the claimed excerpt in the locked primary source.
ORACLE|INTC-2023-EXT-SHARE,oracle_calculation,INTC-2023-EXT-SHARE,intel-2024-04-02-foundry-framework,,,,,,,"Independently recompute from the referenced facts: {""denominator_fact"": ""INTC-2023-FOUNDRY-REV"", ""id"": ""INTC-2023-EXT-SHARE"", ""numerator_fact"": ""INTC-2023-EXT-FOUNDRY"", ""operation"": ""ratio_percent"", ""rounding"": ""0.1"", ""unit"": ""percent""}"
SOURCE|INTC-Q2-REV,source,INTC-Q2-REV,intel-2024-08-01-q2,News Summary,2024-08-01,2024-08-01T20:08:44.000Z,0000050863-24-000122,https://www.sec.gov/Archives/edgar/data/50863/000005086324000122/q224_earningsrelease.htm,559b6ca1daaa1d44988f46853f5d56cf5d48aee39268938cc39b0b60e46eefd4,Verify value=12800 unit=USD_million basis=GAAP period=Q2 2024 and the claimed excerpt in the locked primary source.
SOURCE|INTC-Q2-GM,source,INTC-Q2-GM,intel-2024-08-01-q2,Q2 2024 Financial Highlights,2024-08-01,2024-08-01T20:08:44.000Z,0000050863-24-000122,https://www.sec.gov/Archives/edgar/data/50863/000005086324000122/q224_earningsrelease.htm,559b6ca1daaa1d44988f46853f5d56cf5d48aee39268938cc39b0b60e46eefd4,Verify value=35.4 unit=percent basis=GAAP period=Q2 2024 and the claimed excerpt in the locked primary source.
SOURCE|INTC-Q2-OM,source,INTC-Q2-OM,intel-2024-08-01-q2,Q2 2024 Financial Highlights,2024-08-01,2024-08-01T20:08:44.000Z,0000050863-24-000122,https://www.sec.gov/Archives/edgar/data/50863/000005086324000122/q224_earningsrelease.htm,559b6ca1daaa1d44988f46853f5d56cf5d48aee39268938cc39b0b60e46eefd4,Verify value=-15.3 unit=percent basis=GAAP period=Q2 2024 and the claimed excerpt in the locked primary source.
SOURCE|INTC-Q2-HC,source,INTC-Q2-HC,intel-2024-08-01-q2,News Summary,2024-08-01,2024-08-01T20:08:44.000Z,0000050863-24-000122,https://www.sec.gov/Archives/edgar/data/50863/000005086324000122/q224_earningsrelease.htm,559b6ca1daaa1d44988f46853f5d56cf5d48aee39268938cc39b0b60e46eefd4,Verify value=15 unit=percent basis=management_action period=Q2 2024 and the claimed excerpt in the locked primary source.
SOURCE|INTC-Q2-DIVIDEND,source,INTC-Q2-DIVIDEND,intel-2024-08-01-q2,News Summary,2024-08-01,2024-08-01T20:08:44.000Z,0000050863-24-000122,https://www.sec.gov/Archives/edgar/data/50863/000005086324000122/q224_earningsrelease.htm,559b6ca1daaa1d44988f46853f5d56cf5d48aee39268938cc39b0b60e46eefd4,Verify value=suspending dividend unit=categorical basis=management_action period=Q2 2024 and the claimed excerpt in the locked primary source.
SOURCE|INTC-Q3-REV,source,INTC-Q3-REV,intel-2024-10-31-q3,News Summary,2024-10-31,2024-10-31T20:07:17.000Z,0000050863-24-000147,https://www.sec.gov/Archives/edgar/data/50863/000005086324000147/q324_earningsrelease.htm,168fed7a3314be07cb5b4e6ae7f7f1b9d89e4f67fa16d4aa2432561ca6df9283,Verify value=13300 unit=USD_million basis=GAAP period=Q3 2024 and the claimed excerpt in the locked primary source.
SOURCE|INTC-Q3-GM,source,INTC-Q3-GM,intel-2024-10-31-q3,Q3 2024 Financial Highlights,2024-10-31,2024-10-31T20:07:17.000Z,0000050863-24-000147,https://www.sec.gov/Archives/edgar/data/50863/000005086324000147/q324_earningsrelease.htm,168fed7a3314be07cb5b4e6ae7f7f1b9d89e4f67fa16d4aa2432561ca6df9283,Verify value=15.0 unit=percent basis=GAAP period=Q3 2024 and the claimed excerpt in the locked primary source.
SOURCE|INTC-Q3-RESTRUCT,source,INTC-Q3-RESTRUCT,intel-2024-10-31-q3,Q3 2024 Restructuring and Impairment Charges,2024-10-31,2024-10-31T20:07:17.000Z,0000050863-24-000147,https://www.sec.gov/Archives/edgar/data/50863/000005086324000147/q324_earningsrelease.htm,168fed7a3314be07cb5b4e6ae7f7f1b9d89e4f67fa16d4aa2432561ca6df9283,Verify value=2800 unit=USD_million basis=GAAP period=Q3 2024 and the claimed excerpt in the locked primary source.
SOURCE|INTC-Q3-IMPAIR,source,INTC-Q3-IMPAIR,intel-2024-10-31-q3,News Summary,2024-10-31,2024-10-31T20:07:17.000Z,0000050863-24-000147,https://www.sec.gov/Archives/edgar/data/50863/000005086324000147/q324_earningsrelease.htm,168fed7a3314be07cb5b4e6ae7f7f1b9d89e4f67fa16d4aa2432561ca6df9283,Verify value=15900 unit=USD_million basis=GAAP period=Q3 2024 and the claimed excerpt in the locked primary source.
ORACLE|FSEC-INTC-03|comparisons|1,oracle_calculation,FSEC-INTC-03|comparisons|1,intel-2024-10-31-q3,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""INTC-Q2-REV"", ""operation"": ""percent_change"", ""rounding"": ""0.1"", ""to_fact"": ""INTC-Q3-REV"", ""unit"": ""percent""}"
ORACLE|FSEC-INTC-03|comparisons|2,oracle_calculation,FSEC-INTC-03|comparisons|2,intel-2024-10-31-q3,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""INTC-Q2-GM"", ""operation"": ""difference"", ""rounding"": ""0.1"", ""to_fact"": ""INTC-Q3-GM"", ""unit"": ""percentage_point""}"
SOURCE|NKE-Q4FY24-REV,source,NKE-Q4FY24-REV,nike-2024-06-27-fy2024,Consolidated Statements of Income,2024-06-27,2024-06-27T20:16:39.000Z,0000320187-24-000028,https://www.sec.gov/Archives/edgar/data/320187/000032018724000028/q4fy24exhibit991er.htm,b67aa378e93fe9581a6c97d72eca3ed6311d7bd664e0bc4077601f1e39877be2,Verify value=12606 unit=USD_million basis=GAAP period=Q4 FY2024 ended 2024-05-31 and the claimed excerpt in the locked primary source.
SOURCE|NKE-Q4FY24-GM,source,NKE-Q4FY24-GM,nike-2024-06-27-fy2024,Fourth Quarter Income Statement Review,2024-06-27,2024-06-27T20:16:39.000Z,0000320187-24-000028,https://www.sec.gov/Archives/edgar/data/320187/000032018724000028/q4fy24exhibit991er.htm,b67aa378e93fe9581a6c97d72eca3ed6311d7bd664e0bc4077601f1e39877be2,Verify value=44.7 unit=percent basis=GAAP period=Q4 FY2024 ended 2024-05-31 and the claimed excerpt in the locked primary source.
SOURCE|NKE-Q4FY24-GM-CHANGE,source,NKE-Q4FY24-GM-CHANGE,nike-2024-06-27-fy2024,Fourth Quarter Income Statement Review,2024-06-27,2024-06-27T20:16:39.000Z,0000320187-24-000028,https://www.sec.gov/Archives/edgar/data/320187/000032018724000028/q4fy24exhibit991er.htm,b67aa378e93fe9581a6c97d72eca3ed6311d7bd664e0bc4077601f1e39877be2,Verify value=110 unit=basis_point basis=GAAP period=Q4 FY2024 ended 2024-05-31 and the claimed excerpt in the locked primary source.
SOURCE|NKE-Q4FY24-DIRECT-YOY,source,NKE-Q4FY24-DIRECT-YOY,nike-2024-06-27-fy2024,Fourth Quarter Income Statement Review,2024-06-27,2024-06-27T20:16:39.000Z,0000320187-24-000028,https://www.sec.gov/Archives/edgar/data/320187/000032018724000028/q4fy24exhibit991er.htm,b67aa378e93fe9581a6c97d72eca3ed6311d7bd664e0bc4077601f1e39877be2,Verify value=-8 unit=percent basis=reported_channel period=Q4 FY2024 ended 2024-05-31 and the claimed excerpt in the locked primary source.
SOURCE|NKE-Q4FY24-DIGITAL,source,NKE-Q4FY24-DIGITAL,nike-2024-06-27-fy2024,Fourth Quarter Income Statement Review,2024-06-27,2024-06-27T20:16:39.000Z,0000320187-24-000028,https://www.sec.gov/Archives/edgar/data/320187/000032018724000028/q4fy24exhibit991er.htm,b67aa378e93fe9581a6c97d72eca3ed6311d7bd664e0bc4077601f1e39877be2,Verify value=-10 unit=percent basis=reported_channel period=Q4 FY2024 ended 2024-05-31 and the claimed excerpt in the locked primary source.
SOURCE|NKE-Q2FY25-REV,source,NKE-Q2FY25-REV,nike-2024-12-19-q2-fy2025,Consolidated Statements of Income,2024-12-19,2024-12-19T21:15:58.000Z,0000320187-24-000069,https://www.sec.gov/Archives/edgar/data/320187/000032018724000069/q2fy25exhibit991er.htm,79d1d9055f898a5ce82d52fec9790a8d0d14ff3875b284100487f0d86da8b387,Verify value=12354 unit=USD_million basis=GAAP period=Q2 FY2025 ended 2024-11-30 and the claimed excerpt in the locked primary source.
SOURCE|NKE-Q2FY25-GM,source,NKE-Q2FY25-GM,nike-2024-12-19-q2-fy2025,Second Quarter Income Statement Review,2024-12-19,2024-12-19T21:15:58.000Z,0000320187-24-000069,https://www.sec.gov/Archives/edgar/data/320187/000032018724000069/q2fy25exhibit991er.htm,79d1d9055f898a5ce82d52fec9790a8d0d14ff3875b284100487f0d86da8b387,Verify value=43.6 unit=percent basis=GAAP period=Q2 FY2025 ended 2024-11-30 and the claimed excerpt in the locked primary source.
SOURCE|NKE-Q2FY25-DIGITAL,source,NKE-Q2FY25-DIGITAL,nike-2024-12-19-q2-fy2025,Second Quarter Income Statement Review,2024-12-19,2024-12-19T21:15:58.000Z,0000320187-24-000069,https://www.sec.gov/Archives/edgar/data/320187/000032018724000069/q2fy25exhibit991er.htm,79d1d9055f898a5ce82d52fec9790a8d0d14ff3875b284100487f0d86da8b387,Verify value=-21 unit=percent basis=reported_channel period=Q2 FY2025 ended 2024-11-30 and the claimed excerpt in the locked primary source.
ORACLE|FSEC-NKE-02|comparisons|1,oracle_calculation,FSEC-NKE-02|comparisons|1,nike-2024-12-19-q2-fy2025,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""NKE-Q4FY24-REV"", ""operation"": ""percent_change"", ""rounding"": ""0.1"", ""to_fact"": ""NKE-Q2FY25-REV"", ""unit"": ""percent""}"
ORACLE|FSEC-NKE-02|comparisons|2,oracle_calculation,FSEC-NKE-02|comparisons|2,nike-2024-12-19-q2-fy2025,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""NKE-Q4FY24-GM"", ""operation"": ""difference"", ""rounding"": ""0.1"", ""to_fact"": ""NKE-Q2FY25-GM"", ""unit"": ""percentage_point""}"
SOURCE|NKE-Q4FY25-REV,source,NKE-Q4FY25-REV,nike-2025-06-26-fy2025,Consolidated Statements of Income,2025-06-26,2025-06-26T20:18:10.000Z,0000320187-25-000034,https://www.sec.gov/Archives/edgar/data/320187/000032018725000034/q4fy25exhibit991er.htm,32e7d7c5180b2d24d0e5b83955b8a34ae69275a9c1264fc66f80639753b7b3b8,Verify value=11097 unit=USD_million basis=GAAP period=Q4 FY2025 ended 2025-05-31 and the claimed excerpt in the locked primary source.
SOURCE|NKE-Q4FY25-GM,source,NKE-Q4FY25-GM,nike-2025-06-26-fy2025,Fourth Quarter Income Statement Review,2025-06-26,2025-06-26T20:18:10.000Z,0000320187-25-000034,https://www.sec.gov/Archives/edgar/data/320187/000032018725000034/q4fy25exhibit991er.htm,32e7d7c5180b2d24d0e5b83955b8a34ae69275a9c1264fc66f80639753b7b3b8,Verify value=40.3 unit=percent basis=GAAP period=Q4 FY2025 ended 2025-05-31 and the claimed excerpt in the locked primary source.
SOURCE|NKE-Q4FY25-DIGITAL,source,NKE-Q4FY25-DIGITAL,nike-2025-06-26-fy2025,Fourth Quarter Income Statement Review,2025-06-26,2025-06-26T20:18:10.000Z,0000320187-25-000034,https://www.sec.gov/Archives/edgar/data/320187/000032018725000034/q4fy25exhibit991er.htm,32e7d7c5180b2d24d0e5b83955b8a34ae69275a9c1264fc66f80639753b7b3b8,Verify value=-26 unit=percent basis=reported_channel period=Q4 FY2025 ended 2025-05-31 and the claimed excerpt in the locked primary source.
ORACLE|FSEC-NKE-03|comparisons|1,oracle_calculation,FSEC-NKE-03|comparisons|1,nike-2025-06-26-fy2025,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""NKE-Q2FY25-REV"", ""operation"": ""percent_change"", ""rounding"": ""0.1"", ""to_fact"": ""NKE-Q4FY25-REV"", ""unit"": ""percent""}"
ORACLE|FSEC-NKE-03|comparisons|2,oracle_calculation,FSEC-NKE-03|comparisons|2,nike-2025-06-26-fy2025,,,,,,,"Independently recompute from the referenced facts: {""from_fact"": ""NKE-Q2FY25-GM"", ""operation"": ""difference"", ""rounding"": ""0.1"", ""to_fact"": ""NKE-Q4FY25-GM"", ""unit"": ""percentage_point""}"
ORACLE-GROUP|001,evidence_equivalence_group,ORACLE-GROUP|001,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-01-01 | REC-AMD-01-02 | REC-AMD-01-03 | REC-AMD-01-04 | REC-AMD-01-05 | REC-AMD-01-06 | REC-AMD-02-01 | REC-AMD-02-02 | REC-AMD-03-02
