fact_id,company,symbol,concept,value,unit,basis,scope,reporting_period,filing_date,accepted_at,accession,form,document_type,url,locator,source_sha256,derivation,missing_reason
AMD-Q2-GM,"Advanced Micro Devices, Inc.",AMD,gross_margin,49,percent,GAAP,,Q2 2024,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,GAAP Quarterly Financial Results,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,source_fact,scope not explicitly stated in the human oracle
AMD-Q2-DC,"Advanced Micro Devices, Inc.",AMD,data_center_revenue,2834,USD_million,reported_segment,,Q2 2024,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,Segment and Category Information,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,source_fact,scope not explicitly stated in the human oracle
AMD-Q2-DC-YOY,"Advanced Micro Devices, Inc.",AMD,data_center_revenue_yoy,115,percent,reported_segment,,Q2 2024,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,Segment Summary,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,source_fact,scope not explicitly stated in the human oracle
AMD-Q2-GAME,"Advanced Micro Devices, Inc.",AMD,gaming_revenue,648,USD_million,reported_segment,,Q2 2024,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,Segment Summary,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,source_fact,scope not explicitly stated in the human oracle
AMD-Q2-GAME-YOY,"Advanced Micro Devices, Inc.",AMD,gaming_revenue_yoy,-59,percent,reported_segment,,Q2 2024,2024-07-30,2024-07-30T20:17:15.000Z,0000002488-24-000121,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/q22024991.htm,Segment Summary,c3d6af1851ae405ac81e07a630e98dc8d61354f2ba02ccc4a8eeb212d48ff5ce,source_fact,scope not explicitly stated in the human oracle
AMD-Q3-REV,"Advanced Micro Devices, Inc.",AMD,quarterly_revenue,6819,USD_million,GAAP,,Q3 2024,2024-10-29,2024-10-29T20:16:49.000Z,0000002488-24-000161,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248824000161/q32024991.htm,GAAP Quarterly Financial Results,288e1c639d72dbc0fa2e0fe1704990cf923defb0e49f8a3c39e9dc4883f7285f,source_fact,scope not explicitly stated in the human oracle
AMD-Q3-GM,"Advanced Micro Devices, Inc.",AMD,gross_margin,50,percent,GAAP,,Q3 2024,2024-10-29,2024-10-29T20:16:49.000Z,0000002488-24-000161,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248824000161/q32024991.htm,GAAP Quarterly Financial Results,288e1c639d72dbc0fa2e0fe1704990cf923defb0e49f8a3c39e9dc4883f7285f,source_fact,scope not explicitly stated in the human oracle
AMD-Q3-GAME,"Advanced Micro Devices, Inc.",AMD,gaming_revenue,462,USD_million,reported_segment,,Q3 2024,2024-10-29,2024-10-29T20:16:49.000Z,0000002488-24-000161,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248824000161/q32024991.htm,Segment Summary,288e1c639d72dbc0fa2e0fe1704990cf923defb0e49f8a3c39e9dc4883f7285f,source_fact,scope not explicitly stated in the human oracle
AMD-Q4-REV,"Advanced Micro Devices, Inc.",AMD,quarterly_revenue,7658,USD_million,GAAP,,Q4 2024,2025-02-04,2025-02-04T21:17:17.000Z,0000002488-25-000009,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248825000009/q42024991.htm,GAAP Quarterly Financial Results,1b2f364fea5d5c5247a3a79b0fdfec3b8b85da6fe5e332aadd287514b1c0fc95,source_fact,scope not explicitly stated in the human oracle
AMD-Q4-GM,"Advanced Micro Devices, Inc.",AMD,gross_margin,51,percent,GAAP,,Q4 2024,2025-02-04,2025-02-04T21:17:17.000Z,0000002488-25-000009,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248825000009/q42024991.htm,GAAP Quarterly Financial Results,1b2f364fea5d5c5247a3a79b0fdfec3b8b85da6fe5e332aadd287514b1c0fc95,source_fact,scope not explicitly stated in the human oracle
AMD-Q4-GAME,"Advanced Micro Devices, Inc.",AMD,gaming_revenue,563,USD_million,reported_segment,,Q4 2024,2025-02-04,2025-02-04T21:17:17.000Z,0000002488-25-000009,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/2488/000000248825000009/q42024991.htm,Segment Summary,1b2f364fea5d5c5247a3a79b0fdfec3b8b85da6fe5e332aadd287514b1c0fc95,source_fact,scope not explicitly stated in the human oracle
INTC-2023-FOUNDRY-REV,Intel Corporation,INTC,foundry_segment_revenue,18910,USD_million,reported_segment,,Retrospective 2023 segment disclosure,2024-04-02,2024-04-02T20:01:22.000Z,0000050863-24-000068,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000068/a04022024form8-kexhibit991.htm,Operating segment revenue,efb4f1226ebd7bd915a9a580d4a2f69430b4da4bec406090ce920f5fa0440af2,source_fact,scope not explicitly stated in the human oracle
INTC-2023-FOUNDRY-OI,Intel Corporation,INTC,foundry_operating_income,-6955,USD_million,reported_segment,,Retrospective 2023 segment disclosure,2024-04-02,2024-04-02T20:01:22.000Z,0000050863-24-000068,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000068/a04022024form8-kexhibit991.htm,Segment operating income (loss),efb4f1226ebd7bd915a9a580d4a2f69430b4da4bec406090ce920f5fa0440af2,source_fact,scope not explicitly stated in the human oracle
INTC-2023-EXT-FOUNDRY,Intel Corporation,INTC,external_foundry_revenue,953,USD_million,reported_segment,,Retrospective 2023 segment disclosure,2024-04-02,2024-04-02T20:01:22.000Z,0000050863-24-000068,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000068/a04022024form8-kexhibit991.htm,Intel Foundry segment revenue policy,efb4f1226ebd7bd915a9a580d4a2f69430b4da4bec406090ce920f5fa0440af2,source_fact,scope not explicitly stated in the human oracle
INTC-Q2-REV,Intel Corporation,INTC,quarterly_revenue,12800,USD_million,GAAP,,Q2 2024,2024-08-01,2024-08-01T20:08:44.000Z,0000050863-24-000122,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000122/q224_earningsrelease.htm,News Summary,559b6ca1daaa1d44988f46853f5d56cf5d48aee39268938cc39b0b60e46eefd4,source_fact,scope not explicitly stated in the human oracle
INTC-Q2-GM,Intel Corporation,INTC,gross_margin,35.4,percent,GAAP,,Q2 2024,2024-08-01,2024-08-01T20:08:44.000Z,0000050863-24-000122,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000122/q224_earningsrelease.htm,Q2 2024 Financial Highlights,559b6ca1daaa1d44988f46853f5d56cf5d48aee39268938cc39b0b60e46eefd4,source_fact,scope not explicitly stated in the human oracle
INTC-Q2-OM,Intel Corporation,INTC,operating_margin,-15.3,percent,GAAP,,Q2 2024,2024-08-01,2024-08-01T20:08:44.000Z,0000050863-24-000122,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000122/q224_earningsrelease.htm,Q2 2024 Financial Highlights,559b6ca1daaa1d44988f46853f5d56cf5d48aee39268938cc39b0b60e46eefd4,source_fact,scope not explicitly stated in the human oracle
INTC-Q2-HC,Intel Corporation,INTC,headcount_reduction,15,percent,management_action,,Q2 2024,2024-08-01,2024-08-01T20:08:44.000Z,0000050863-24-000122,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000122/q224_earningsrelease.htm,News Summary,559b6ca1daaa1d44988f46853f5d56cf5d48aee39268938cc39b0b60e46eefd4,source_fact,scope not explicitly stated in the human oracle
INTC-Q2-DIVIDEND,Intel Corporation,INTC,dividend_action,suspending dividend,categorical,management_action,,Q2 2024,2024-08-01,2024-08-01T20:08:44.000Z,0000050863-24-000122,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000122/q224_earningsrelease.htm,News Summary,559b6ca1daaa1d44988f46853f5d56cf5d48aee39268938cc39b0b60e46eefd4,source_fact,scope not explicitly stated in the human oracle
INTC-Q3-REV,Intel Corporation,INTC,quarterly_revenue,13300,USD_million,GAAP,,Q3 2024,2024-10-31,2024-10-31T20:07:17.000Z,0000050863-24-000147,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000147/q324_earningsrelease.htm,News Summary,168fed7a3314be07cb5b4e6ae7f7f1b9d89e4f67fa16d4aa2432561ca6df9283,source_fact,scope not explicitly stated in the human oracle
INTC-Q3-GM,Intel Corporation,INTC,gross_margin,15.0,percent,GAAP,,Q3 2024,2024-10-31,2024-10-31T20:07:17.000Z,0000050863-24-000147,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000147/q324_earningsrelease.htm,Q3 2024 Financial Highlights,168fed7a3314be07cb5b4e6ae7f7f1b9d89e4f67fa16d4aa2432561ca6df9283,source_fact,scope not explicitly stated in the human oracle
INTC-Q3-RESTRUCT,Intel Corporation,INTC,restructuring_charges,2800,USD_million,GAAP,,Q3 2024,2024-10-31,2024-10-31T20:07:17.000Z,0000050863-24-000147,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000147/q324_earningsrelease.htm,Q3 2024 Restructuring and Impairment Charges,168fed7a3314be07cb5b4e6ae7f7f1b9d89e4f67fa16d4aa2432561ca6df9283,source_fact,scope not explicitly stated in the human oracle
INTC-Q3-IMPAIR,Intel Corporation,INTC,impairment_and_accelerated_depreciation,15900,USD_million,GAAP,,Q3 2024,2024-10-31,2024-10-31T20:07:17.000Z,0000050863-24-000147,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/50863/000005086324000147/q324_earningsrelease.htm,News Summary,168fed7a3314be07cb5b4e6ae7f7f1b9d89e4f67fa16d4aa2432561ca6df9283,source_fact,scope not explicitly stated in the human oracle
NKE-Q4FY24-REV,"NIKE, Inc.",NKE,quarterly_revenue,12606,USD_million,GAAP,,Q4 FY2024 ended 2024-05-31,2024-06-27,2024-06-27T20:16:39.000Z,0000320187-24-000028,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000028/q4fy24exhibit991er.htm,Consolidated Statements of Income,b67aa378e93fe9581a6c97d72eca3ed6311d7bd664e0bc4077601f1e39877be2,source_fact,scope not explicitly stated in the human oracle
NKE-Q4FY24-GM,"NIKE, Inc.",NKE,gross_margin,44.7,percent,GAAP,,Q4 FY2024 ended 2024-05-31,2024-06-27,2024-06-27T20:16:39.000Z,0000320187-24-000028,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000028/q4fy24exhibit991er.htm,Fourth Quarter Income Statement Review,b67aa378e93fe9581a6c97d72eca3ed6311d7bd664e0bc4077601f1e39877be2,source_fact,scope not explicitly stated in the human oracle
NKE-Q4FY24-GM-CHANGE,"NIKE, Inc.",NKE,gross_margin_yoy_change,110,basis_point,GAAP,,Q4 FY2024 ended 2024-05-31,2024-06-27,2024-06-27T20:16:39.000Z,0000320187-24-000028,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000028/q4fy24exhibit991er.htm,Fourth Quarter Income Statement Review,b67aa378e93fe9581a6c97d72eca3ed6311d7bd664e0bc4077601f1e39877be2,source_fact,scope not explicitly stated in the human oracle
NKE-Q4FY24-DIRECT-YOY,"NIKE, Inc.",NKE,nike_direct_revenue_yoy,-8,percent,reported_channel,,Q4 FY2024 ended 2024-05-31,2024-06-27,2024-06-27T20:16:39.000Z,0000320187-24-000028,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000028/q4fy24exhibit991er.htm,Fourth Quarter Income Statement Review,b67aa378e93fe9581a6c97d72eca3ed6311d7bd664e0bc4077601f1e39877be2,source_fact,scope not explicitly stated in the human oracle
NKE-Q4FY24-DIGITAL,"NIKE, Inc.",NKE,nike_brand_digital_yoy,-10,percent,reported_channel,,Q4 FY2024 ended 2024-05-31,2024-06-27,2024-06-27T20:16:39.000Z,0000320187-24-000028,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000028/q4fy24exhibit991er.htm,Fourth Quarter Income Statement Review,b67aa378e93fe9581a6c97d72eca3ed6311d7bd664e0bc4077601f1e39877be2,source_fact,scope not explicitly stated in the human oracle
NKE-Q2FY25-REV,"NIKE, Inc.",NKE,quarterly_revenue,12354,USD_million,GAAP,,Q2 FY2025 ended 2024-11-30,2024-12-19,2024-12-19T21:15:58.000Z,0000320187-24-000069,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000069/q2fy25exhibit991er.htm,Consolidated Statements of Income,79d1d9055f898a5ce82d52fec9790a8d0d14ff3875b284100487f0d86da8b387,source_fact,scope not explicitly stated in the human oracle
NKE-Q2FY25-GM,"NIKE, Inc.",NKE,gross_margin,43.6,percent,GAAP,,Q2 FY2025 ended 2024-11-30,2024-12-19,2024-12-19T21:15:58.000Z,0000320187-24-000069,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000069/q2fy25exhibit991er.htm,Second Quarter Income Statement Review,79d1d9055f898a5ce82d52fec9790a8d0d14ff3875b284100487f0d86da8b387,source_fact,scope not explicitly stated in the human oracle
NKE-Q2FY25-DIGITAL,"NIKE, Inc.",NKE,nike_brand_digital_yoy,-21,percent,reported_channel,,Q2 FY2025 ended 2024-11-30,2024-12-19,2024-12-19T21:15:58.000Z,0000320187-24-000069,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000069/q2fy25exhibit991er.htm,Second Quarter Income Statement Review,79d1d9055f898a5ce82d52fec9790a8d0d14ff3875b284100487f0d86da8b387,source_fact,scope not explicitly stated in the human oracle
NKE-Q4FY25-REV,"NIKE, Inc.",NKE,quarterly_revenue,11097,USD_million,GAAP,,Q4 FY2025 ended 2025-05-31,2025-06-26,2025-06-26T20:18:10.000Z,0000320187-25-000034,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/320187/000032018725000034/q4fy25exhibit991er.htm,Consolidated Statements of Income,32e7d7c5180b2d24d0e5b83955b8a34ae69275a9c1264fc66f80639753b7b3b8,source_fact,scope not explicitly stated in the human oracle
NKE-Q4FY25-GM,"NIKE, Inc.",NKE,gross_margin,40.3,percent,GAAP,,Q4 FY2025 ended 2025-05-31,2025-06-26,2025-06-26T20:18:10.000Z,0000320187-25-000034,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/320187/000032018725000034/q4fy25exhibit991er.htm,Fourth Quarter Income Statement Review,32e7d7c5180b2d24d0e5b83955b8a34ae69275a9c1264fc66f80639753b7b3b8,source_fact,scope not explicitly stated in the human oracle
NKE-Q4FY25-DIGITAL,"NIKE, Inc.",NKE,nike_brand_digital_yoy,-26,percent,reported_channel,,Q4 FY2025 ended 2025-05-31,2025-06-26,2025-06-26T20:18:10.000Z,0000320187-25-000034,8-K,EX-99.1,https://www.sec.gov/Archives/edgar/data/320187/000032018725000034/q4fy25exhibit991er.htm,Fourth Quarter Income Statement Review,32e7d7c5180b2d24d0e5b83955b8a34ae69275a9c1264fc66f80639753b7b3b8,source_fact,scope not explicitly stated in the human oracle
